row	awma_stream_sm_raw
P8_10_80_STREAM_CONTROL	sid=1 cta_assignments=6 distinct_cta_slots=2 global_accesses=16541 local_accesses=6912 param_local_accesses=0 cta_logical_sequence=14,49,78,165,187,215
P8_10_80_STREAM_CONTROL	sid=2 cta_assignments=7 distinct_cta_slots=2 global_accesses=17063 local_accesses=7040 param_local_accesses=0 cta_logical_sequence=15,50,82,102,158,176,189
P8_10_80_STREAM_CONTROL	sid=3 cta_assignments=9 distinct_cta_slots=2 global_accesses=18399 local_accesses=7384 param_local_accesses=0 cta_logical_sequence=16,51,72,86,129,133,149,191,202
P8_10_80_STREAM_CONTROL	sid=4 cta_assignments=6 distinct_cta_slots=2 global_accesses=17563 local_accesses=7392 param_local_accesses=0 cta_logical_sequence=17,52,79,93,201,206
P8_10_80_STREAM_CONTROL	sid=5 cta_assignments=9 distinct_cta_slots=2 global_accesses=17603 local_accesses=7024 param_local_accesses=0 cta_logical_sequence=18,53,84,99,114,128,137,139,222
P8_10_80_STREAM_CONTROL	sid=6 cta_assignments=7 distinct_cta_slots=2 global_accesses=17310 local_accesses=7160 param_local_accesses=0 cta_logical_sequence=19,54,89,105,160,174,188
P8_10_80_STREAM_CONTROL	sid=7 cta_assignments=5 distinct_cta_slots=2 global_accesses=16256 local_accesses=6920 param_local_accesses=0 cta_logical_sequence=20,55,95,110,221
P8_10_80_STREAM_CONTROL	sid=8 cta_assignments=6 distinct_cta_slots=2 global_accesses=14755 local_accesses=6072 param_local_accesses=0 cta_logical_sequence=21,56,100,117,140,171
P8_10_80_STREAM_CONTROL	sid=9 cta_assignments=5 distinct_cta_slots=2 global_accesses=15743 local_accesses=6680 param_local_accesses=0 cta_logical_sequence=22,57,107,125,204
P8_10_80_STREAM_CONTROL	sid=10 cta_assignments=8 distinct_cta_slots=2 global_accesses=18140 local_accesses=7376 param_local_accesses=0 cta_logical_sequence=23,58,113,130,132,159,180,219
P8_10_80_STREAM_CONTROL	sid=11 cta_assignments=5 distinct_cta_slots=2 global_accesses=14517 local_accesses=6080 param_local_accesses=0 cta_logical_sequence=24,59,120,141,198
P8_10_80_STREAM_CONTROL	sid=12 cta_assignments=5 distinct_cta_slots=2 global_accesses=16252 local_accesses=6920 param_local_accesses=0 cta_logical_sequence=25,60,127,151,218
