set_name	run_index	decode_index	control_decode_ms	fair_decode_ms	selected_control_sum_ms	selected_target_share	summed_local_saving_ms	observed_decode_saving_ms	realization_ratio	nonselected_up_proj_effect_ms
N28	5	3	13.707391738891602	13.587455749511719	2.2822079434990883	0.16649469038109146	0.5796479359269142	0.11993598937988281	0.20691178549284978	0
N28	6	1	13.696000099182129	13.559807777404785	2.2759039402008057	0.1661728916267103	0.5610559545457363	0.13619232177734375	0.24274285064421608	0
N28	6	2	13.699071884155273	13.56287956237793	2.2773759365081787	0.1662430824340921	0.5658879429101944	0.13619232177734375	0.2406701246839558	0
N28	6	3	13.699071884155273	13.56595230102539	2.2804479375481606	0.16646733127853647	0.5680639520287514	0.1331195831298828	0.23433907864504883	0
N14B	0	1	13.694975852966309	13.613056182861328	1.134591966867447	0.082847314157308	0.27750397846102715	0.08191967010498047	0.29520178614839326	-0.26047998666763306
N14B	0	2	13.702143669128418	13.606911659240723	1.1416639685630798	0.0833200991123238	0.28150397911667824	0.09523200988769531	0.3382972069756193	-0.2598079815506935
N14B	0	3	13.702143669128418	13.616127967834473	1.1386879682540894	0.08310290679695671	0.28303997218608856	0.08601570129394531	0.3038994832764932	-0.2576959803700447
N14B	1	1	13.699071884155273	13.592576026916504	1.13724797219038	0.08301642489413846	0.2790079787373543	0.10649585723876953	0.38169466594007334	-0.2600639872252941
N14B	1	2	13.706239700317383	13.588479995727539	1.1366399675607681	0.08292865092199198	0.2805759757757187	0.11775970458984375	0.41970701256324305	-0.2593279778957367
N14B	1	3	13.699071884155273	13.596672058105469	1.1427839696407318	0.08342053967630518	0.28710396587848663	0.10239982604980469	0.3566646170716576	-0.2616319805383682
N14B	2	1	13.698047637939453	13.577216148376465	1.1413439810276031	0.08332165365423501	0.2840319871902466	0.12083148956298828	0.4254150765140918	-0.2564479820430279
N14B	2	2	13.686783790588379	13.585408210754395	1.1335679665207863	0.08282208471067369	0.2754559814929962	0.10137557983398438	0.36802823915646926	-0.25593598186969757
N14B	2	3	13.709312438964844	13.605279922485352	1.1389759704470634	0.08308045903234697	0.2781759798526764	0.10403251647949219	0.37398094736500404	-0.25545597821474075
N14B	3	1	13.686783790588379	13.58233642578125	1.1329919695854187	0.08278000054070501	0.2765439823269844	0.1044473648071289	0.37768807669671434	-0.2590079829096794
N14B	3	2	13.692928314208984	13.596672058105469	1.1362239718437195	0.08297888850149561	0.2759679853916168	0.09625625610351562	0.3487950095621477	-0.2552959769964218
N14B	3	3	13.696000099182129	13.606911659240723	1.1390079706907272	0.08316354865963708	0.279711976647377	0.08908843994140625	0.31850062699931114	-0.2603199854493141
