roi	profile	object_class	metric	value	provenance
prefill	generic	KV_CACHE	pte_l2_only_responses	135	simulator_runtime_counter
prefill	generic	KV_CACHE	pte_memory_wait_cycles_max	586	simulator_runtime_counter
prefill	generic	KV_CACHE	pte_memory_wait_cycles_total	74851	simulator_runtime_counter
prefill	generic	KV_CACHE	pte_requests	214	simulator_runtime_counter
prefill	generic	KV_CACHE	pwc_accesses	636	simulator_runtime_counter
prefill	generic	KV_CACHE	pwc_hits	634	simulator_runtime_counter
prefill	generic	KV_CACHE	pwc_misses	2	simulator_runtime_counter
prefill	generic	KV_CACHE	requester_latency_cycles_max	1037	simulator_runtime_counter
prefill	generic	KV_CACHE	requester_latency_cycles_total	23886732	simulator_runtime_counter
prefill	generic	KV_CACHE	requester_mshr_wait_cycles_max	947	simulator_runtime_counter
prefill	generic	KV_CACHE	requester_mshr_wait_cycles_total	580188	simulator_runtime_counter
prefill	generic	KV_CACHE	translation_requesters	2042159	simulator_runtime_counter
prefill	generic	KV_CACHE	unique_translation_keys	64	simulator_runtime_counter
prefill	generic	KV_CACHE	walk_starts	212	simulator_runtime_counter
prefill	generic	UNKNOWN	completed	43919213	simulator_runtime_counter
prefill	generic	UNKNOWN	l1_hits	42806006	simulator_runtime_counter
prefill	generic	UNKNOWN	l1_lookup_launches	43919213	simulator_runtime_counter
prefill	generic	UNKNOWN	l1_misses	1113207	simulator_runtime_counter
prefill	generic	UNKNOWN	l2_fills	7123	simulator_runtime_counter
prefill	generic	UNKNOWN	l2_hits	1089946	simulator_runtime_counter
prefill	generic	UNKNOWN	l2_lookup_launches	1113207	simulator_runtime_counter
prefill	generic	UNKNOWN	l2_misses	23261	simulator_runtime_counter
prefill	generic	UNKNOWN	mshr_allocations	7122	simulator_runtime_counter
prefill	generic	UNKNOWN	mshr_merges	16139	simulator_runtime_counter
prefill	generic	UNKNOWN	pte_dram_responses	6312	simulator_runtime_counter
prefill	generic	UNKNOWN	pte_l2_only_responses	833	simulator_runtime_counter
prefill	generic	UNKNOWN	pte_memory_wait_cycles_max	3020	simulator_runtime_counter
prefill	generic	UNKNOWN	pte_memory_wait_cycles_total	3275127	simulator_runtime_counter
prefill	generic	UNKNOWN	pte_requests	7145	simulator_runtime_counter
prefill	generic	UNKNOWN	pwc_accesses	21366	simulator_runtime_counter
prefill	generic	UNKNOWN	pwc_hits	21343	simulator_runtime_counter
prefill	generic	UNKNOWN	pwc_misses	23	simulator_runtime_counter
prefill	generic	UNKNOWN	requester_latency_cycles_max	3113	simulator_runtime_counter
prefill	generic	UNKNOWN	requester_latency_cycles_total	537398458	simulator_runtime_counter
prefill	generic	UNKNOWN	requester_mshr_wait_cycles_max	3023	simulator_runtime_counter
prefill	generic	UNKNOWN	requester_mshr_wait_cycles_total	8858116	simulator_runtime_counter
prefill	generic	UNKNOWN	translation_requesters	43919213	simulator_runtime_counter
prefill	generic	UNKNOWN	unique_translation_keys	2171	simulator_runtime_counter
prefill	generic	UNKNOWN	walk_starts	7122	simulator_runtime_counter
prefill	generic	WEIGHT	completed	47971634	simulator_runtime_counter
prefill	generic	WEIGHT	l1_hits	47874364	simulator_runtime_counter
prefill	generic	WEIGHT	l1_lookup_launches	47971634	simulator_runtime_counter
prefill	generic	WEIGHT	l1_misses	97270	simulator_runtime_counter
prefill	generic	WEIGHT	l2_fills	15448	simulator_runtime_counter
prefill	generic	WEIGHT	l2_hits	66415	simulator_runtime_counter
prefill	generic	WEIGHT	l2_lookup_launches	97270	simulator_runtime_counter
prefill	generic	WEIGHT	l2_misses	30855	simulator_runtime_counter
prefill	generic	WEIGHT	mshr_allocations	15449	simulator_runtime_counter
prefill	generic	WEIGHT	mshr_merges	15406	simulator_runtime_counter
prefill	generic	WEIGHT	pte_dram_responses	3993	simulator_runtime_counter
prefill	generic	WEIGHT	pte_l2_only_responses	11522	simulator_runtime_counter
